,Neighborhood,Total population,number of educated people,number of 15-45,number of employers,long_latt,number_gyms,number_venues,Longitude,Latitude,Neighbourhood,Assault_Rate2020,AutoTheft_Rate2020,Robbery_Rate2020,Homicide_Rate2020
0,Agincourt North,30280.0,19805.0,11850.0,13230.0,"[-79.2816161258827, 43.797405754163]",0.0,26.0,-79.2816161258827,43.797405754163,Agincourt North,218.2301,183.4398,53.76684,0.0
1,Agincourt South-Malvern West,21990.0,14535.0,8840.0,9860.0,"[-79.2891688527481, 43.7851873380096]",0.0,34.0,-79.2891688527481,43.7851873380096,Agincourt South-Malvern West,481.6464,229.8767,65.67905,7.297672
2,Alderwood,11900.0,7915.0,4520.0,6240.0,"[-79.5532040267975, 43.5954996876866]",1.0,17.0,-79.5532040267975,43.5954996876866,Alderwood,279.414,211.4484,90.62075,0.0
3,Annex,29180.0,23495.0,15095.0,16770.0,"[-79.4121466573202, 43.6744312990078]",3.0,63.0,-79.4121466573202,43.6744312990078,Annex,792.9642,106.6897,126.8743,0.0
4,Banbury-Don Mills,26910.0,20555.0,9615.0,13030.0,"[-79.326504539789, 43.7325704244428]",2.0,14.0,-79.326504539789,43.7325704244428,Banbury-Don Mills,266.1451,157.1218,22.445970000000003,0.0
5,Bathurst Manor,15435.0,10385.0,6115.0,7425.0,"[-79.430502667246, 43.7575784301813]",1.0,26.0,-79.430502667246,43.7575784301813,Bathurst Manor,329.022,260.9485,45.38235,0.0
6,Bay Street Corridor,19345.0,16495.0,12800.0,10220.0,"[-79.3912583210563, 43.6606532521722]",1.0,96.0,-79.3912583210563,43.6606532521722,Bay Street Corridor,1573.651,76.24276,250.0762,3.04971
7,Bayview Village,17675.0,13960.0,7900.0,8750.0,"[-79.3834514087178, 43.7640817777541]",3.0,37.0,-79.3834514087178,43.7640817777541,Bayview Village,278.237,112.9078,72.58357,4.032421
8,Bayview Woods-Steeles,13535.0,10105.0,4675.0,5935.0,"[-79.3714520973767, 43.8045095069159]",0.0,18.0,-79.3714520973767,43.8045095069159,Bayview Woods-Steeles,235.378,106.99,7.132667999999999,0.0
9,Bedford Park-Nortown,23185.0,16330.0,8295.0,10945.0,"[-79.4274225674093, 43.7096042496363]",0.0,14.0,-79.4274225674093,43.7096042496363,Bedford Park-Nortown,196.0407,303.671,65.34692,0.0
10,Beechborough-Greenbrook,6490.0,3585.0,2805.0,2790.0,"[-79.4647302913102, 43.692362616926]",0.0,25.0,-79.4647302913102,43.692362616926,Beechborough-Greenbrook,729.3127,196.3534,56.10098000000001,0.0
11,Bendale,27870.0,18300.0,11460.0,12180.0,"[-79.2400495723641, 43.7466257573718]",0.0,13.0,-79.2400495723641,43.7466257573718,Bendale,659.1395,173.9396,67.13457,3.051572
12,Birchcliffe-Cliffside,21860.0,14975.0,7880.0,10925.0,"[-79.2698201397013, 43.6958383345337]",0.0,15.0,-79.2698201397013,43.6958383345337,Birchcliffe-Cliffside,587.2136,86.84145,82.70615,0.0
13,Black Creek,22060.0,11265.0,9380.0,8280.0,"[-79.5168068949797, 43.7709321923081]",0.0,16.0,-79.5168068949797,43.7709321923081,Black Creek,1210.894,349.0477,107.7308,12.92769
14,Blake-Jones,7765.0,4980.0,3475.0,3805.0,"[-79.3354787855352, 43.6725854142185]",1.0,75.0,-79.3354787855352,43.6725854142185,Blake-Jones,675.7572,84.46965,48.26837,0.0
15,Briar Hill-Belgravia,14295.0,9600.0,6220.0,7585.0,"[-79.4400702000353, 43.7055855281681]",0.0,24.0,-79.4400702000353,43.7055855281681,Briar Hill-Belgravia,556.7064,239.5132,64.7333,0.0
16,Bridle Path-Sunnybrook-York Mills,8715.0,6570.0,2840.0,4025.0,"[-79.4022194797677, 43.7441935625678]",1.0,15.0,-79.4022194797677,43.7441935625678,Bridle Path-Sunnybrook-York Mills,411.2594,146.2256,73.11278,0.0
17,Broadview North,11565.0,8055.0,5180.0,5805.0,"[-79.3630337935626, 43.683474326764404]",1.0,48.0,-79.3630337935626,43.683474326764404,Broadview North,501.1316,56.57937,24.2483,0.0
18,Brookhaven-Amesbury,17785.0,10145.0,7505.0,7860.0,"[-79.4770994524835, 43.7090878618258]",0.0,22.0,-79.4770994524835,43.7090878618258,Brookhaven-Amesbury,465.8056,285.8353,84.69193,0.0
19,Cabbagetown-South St. James Town,12050.0,9595.0,5335.0,7155.0,"[-79.3713421467449, 43.6718887916088]",0.0,87.0,-79.3713421467449,43.6718887916088,,,,,
20,Caledonia-Fairbank,9855.0,5285.0,4240.0,4785.0,"[-79.4628934618934, 43.6889767313266]",0.0,26.0,-79.4628934618934,43.6889767313266,Caledonia-Fairbank,466.0266,74.56426,74.56426,0.0
21,Casa Loma,10485.0,8760.0,4320.0,6140.0,"[-79.4014550142353, 43.686640919782]",7.0,64.0,-79.4014550142353,43.686640919782,Casa Loma,494.5679,145.9381,24.32301,0.0
22,Centennial Scarborough,13100.0,9790.0,4800.0,6870.0,"[-79.1456260825496, 43.7697284079075]",0.0,9.0,-79.1456260825496,43.7697284079075,Centennial Scarborough,313.5224,68.15704000000001,20.44711,0.0
23,Church-Yonge Corridor,28345.0,25065.0,17970.0,17795.0,"[-79.3830705117445, 43.6613720049663]",0.0,98.0,-79.3830705117445,43.6613720049663,Church-Yonge Corridor,1937.422,76.37669,351.3328,0.0
24,Clairlea-Birchmount,24775.0,16145.0,10450.0,11720.0,"[-79.2698075136083, 43.7016197049505]",0.0,24.0,-79.2698075136083,43.7016197049505,Clairlea-Birchmount,627.9435,167.2241,102.3821,3.412736
25,Clanton Park,14610.0,10110.0,6030.0,7555.0,"[-79.4436682094965, 43.7311189337355]",2.0,58.0,-79.4436682094965,43.7311189337355,Clanton Park,437.52,234.7668,85.36976,0.0
26,Cliffcrest,15700.0,10505.0,5685.0,7190.0,"[-79.2252201206122, 43.7112728027011]",1.0,9.0,-79.2252201206122,43.7112728027011,Cliffcrest,626.5876,107.2537,129.8335,0.0
27,Corso Italia-Davenport,13735.0,8005.0,6170.0,6700.0,"[-79.4521351447371, 43.6720006802834]",1.0,64.0,-79.4521351447371,43.6720006802834,Corso Italia-Davenport,587.8856,92.47639,79.26547,6.605455999999999
28,Danforth,9450.0,6215.0,3995.0,4855.0,"[-79.3167143358462, 43.68877266712471]",0.0,45.0,-79.3167143358462,43.68877266712471,Danforth,627.8373,67.61325,183.5217,0.0
29,Danforth East York,16710.0,11335.0,6940.0,9060.0,"[-79.3164905693791, 43.6943022597829]",0.0,21.0,-79.3164905693791,43.6943022597829,Danforth East York,303.9019,86.82911,48.84137,5.426819
30,Don Valley Village,26735.0,19700.0,11600.0,12325.0,"[-79.3662204557787, 43.790141293136706]",0.0,27.0,-79.3662204557787,43.790141293136706,Don Valley Village,326.464,115.6227,78.21533000000001,6.8013330000000005
31,Dorset Park,24360.0,15435.0,9995.0,10715.0,"[-79.26826826942602, 43.7601505266218]",0.0,31.0,-79.26826826942602,43.7601505266218,Dorset Park,476.877,262.4672,88.72131,0.0
32,Dovercourt-Wallace Emerson-Junction,34635.0,21815.0,17335.0,18910.0,"[-79.4545074472216, 43.6616327757039]",2.0,89.0,-79.4545074472216,43.6616327757039,Dovercourt-Wallace Emerson-Junction,634.37,156.1145,96.6423,0.0
33,Downsview-Roding-CFB,34650.0,19565.0,14360.0,15800.0,"[-79.5284311615202, 43.7193551775753]",0.0,13.0,-79.5284311615202,43.7193551775753,Downsview-Roding-CFB,915.8308,392.4989,141.0944,5.130705
34,Dufferin Grove,11450.0,8005.0,6020.0,6650.0,"[-79.4316412650605, 43.6527430564478]",0.0,99.0,-79.4316412650605,43.6527430564478,Dufferin Grove,614.4035,139.9907,147.7679,7.777259
